Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,NLY,0,0,0,0,8710000000.0,N/A,N/A,7.12,N/A,N/A,0.81,N/A,N/A,0.0,107.83,-4.59,-34.78,-3470000000.0,-2.4,N/A,-453030000.0,N/A,-5090000000.0,-3.53,N/A,3060000000.0,2.14,82570000000.0,649.74,0.12,7.49,N/A,N/A,1.15,5.7,8.32,24730000.0,1430000000.0,1430000000.0,0.33,53.69,21530000.0,0.91,1.7,19930000.0
0,0,NOC,0,0,0,0,54040000000.0,66340000000.0,24.35,14.56,1.04,1.6,5.96,1.94,16.2,6.57,8.95,4.63,25.31,34270000000.000004,203.12,5.3,7260000000.0,4080000000.0,2250000000.0,13.29,0.6,3280000000.0,19.66,18170000000.0,200.49,1.29,54.23,4219999999.9999995,1830000000.0,0.81,326.02,344.72,1210000.0,166700000.0,166050000.0,0.49,84.06,1710000.0,1.7,1.29,2100000.0
0,0,NOK,0,0,0,0,20060000000.0,19370000000.0,53.06,14.41,1.23,0.8,1.17,0.84,7.91,1.45,0.0,2.15,2.31,N/A,N/A,-2.4,8449999999.999999,N/A,N/A,-0.192,N/A,N/A,N/A,N/A,37.22,1.37,3.12,N/A,N/A,0.38,3.2931,3.584,32500000.0,5620000000.0,5030000000.0,0.0,4.78,18050000.0,1.01,N/A,20990000.0
0,0,NOV,0,0,0,0,4790000000.0,6440000000.0,N/A,24.51,N/A,0.56,0.87,0.76,-0.8,-95.76,-5.57,-1.91,-83.19,8420000000.0,22.0,-2.9,845000000.0,-8000000.0,-8060000000.000001,-21.07,N/A,1120000000.0,2.87,2760000000.0,49.75,2.73,14.13,791000000.0,914250000.0,1.82,11.43,18.84,5170000.0,388220000.0,386500000.0,0.42,98.47,21950000.0,4.04,5.68,20650000.0
0,0,NRG,0,0,0,0,8000000000.0,14230000000.0,2.08,9.69,N/A,0.87,5.21,1.47,8.29,42.14,13.63,7.38,51837.5,9670000000.0,38.02,-6.7,2520000000.0,1860000000.0,4139999999.9999995,15.9,-74.9,759000000.0,3.11,6990000000.0,455.14,1.22,6.25,1710000000.0,1180000000.0,1.07,30.15,35.47,3530000.0,244090000.0,242300000.0,0.81,98.22,5960000.0,1.79,2.79,5840000.0
0,0,NSC,0,0,0,0,43440000000.0,55040000000.0,18.41,19.57,2.78,4.02,2.92,4.97,11.41,21.89,36.5,6.79,16.06,11080000000.0,42.49,-7.6,5190000000.0,5190000000.0,2420000000.0,9.22,-43.7,608000000.0,2.37,12490000000.0,83.89,0.89,58.1,3970000000.0,1410000000.0,1.39,156.4,181.94,2000000.0,256180000.0,255750000.0,0.12,76.23,3840000.0,1.99,1.5,3170000.0
0,0,NTAP,0,0,0,0,9510000000.0,8490000000.0,10.22,9.29,1.12,1.83,33.73,1.52,6.4,18.19,17.2,7.58,134.79,5600000000.0,23.74,-10.2,3940000000.0,1120000000.0,1020000000.0,4.26,11.2,3020000000.0,13.64,1990000000.0,704.97,1.2,1.27,1080000000.0,805120000.0,1.29,41.14,52.6,2820000.0,221180000.0,220460000.0,0.31,98.98,8279999.999999999,3.81,5.15,7740000.0
0,0,NTRI,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,365800000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,NTRS,0,0,0,0,15810000000.0,N/A,11.34,14.6,3.56,3.0,1.58,N/A,N/A,24.55,31.84,1.06,14.01,6130000000.0,28.91,3.1,6090000000.0,N/A,1430000000.0,6.7,3.9,17440000000.0,83.85,15560000000.0,N/A,N/A,48.04,-387000000.0,N/A,1.1,76.97,93.84,1860000.0,208050000.0,204990000.0,0.63,86.08,5550000.0,3.35,2.9,6050000.0
0,0,NU,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
